SIDM,cell_line_name,tissue
SIDM01164,SW1783,CNS
SIDM01165,SW1990,Pancreas
SIDM00837,SW48,Colon
SIDM00841,SW620,Colon
SIDM01168,SW626,Colon
SIDM01175,SW684,Soft_tissue
SIDM01174,SW756,Cervix
SIDM01160,SW780,Bladder
SIDM00833,SW837,Colon
SIDM01159,SW872,Soft_tissue
SIDM01158,SW900,Lung
SIDM00832,SW948,Colon
SIDM01161,SW982,Soft_tissue
SIDM00097,T47D,Breast
SIDM00782,T84,Colon
SIDM01171,T98G,CNS
SIDM00419,TC-71,Bone
SIDM01190,TCCSUP,Bladder
SIDM00234,TC-YIK,Cervix
SIDM00369,TE-1,Esophagus
SIDM00249,TE-15,Esophagus
SIDM00250,TE-4,Esophagus
SIDM00347,TE-5,Esophagus
SIDM00328,TE-6,Esophagus
SIDM00326,TE-8,Esophagus
SIDM00325,TE-9,Esophagus
SIDM00251,TGBC11TKB,Stomach
SIDM00252,TGBC1TKB,Biliary
SIDM00267,TGBC24TKB,Biliary
SIDM00324,TGW,PNS
SIDM00323,TK,Lymphoid
SIDM00113,TK10,Kidney
SIDM01170,TOV-112D,Ovary
SIDM01169,TOV-21G,Ovary
SIDM00484,TT,Thyroid
SIDM00322,T-T,Esophagus
SIDM00418,TT2609-C02,Thyroid
SIDM01205,TUR,Lymphoid
SIDM00321,TYK-nu,Ovary
SIDM01193,U-118-MG,CNS
SIDM00111,U251,CNS
SIDM00417,U-266,Lymphoid
SIDM01191,U-2-OS,Bone
SIDM00424,U-698-M,Lymphoid
SIDM01189,U-87-MG,CNS
SIDM00108,UACC-257,Skin
SIDM00107,UACC-62,Skin
SIDM01187,UACC-812,Breast
SIDM01186,UACC-893,Breast
SIDM01183,UMC-11,Lung
SIDM01182,UM-UC-3,Bladder
SIDM01179,VA-ES-BJ,Soft_tissue
SIDM00416,VAL,Lymphoid
SIDM01077,VCaP,Prostate
SIDM00414,VM-CUB-1,Bladder
SIDM00320,VMRC-LCD,Lung
SIDM00317,VMRC-RCZ,Kidney
SIDM01102,WIL2-NS,Lymphoid
SIDM01000,WM-115,Skin
SIDM00976,WM1552C,Skin
SIDM00975,WM278,Skin
SIDM00974,WM35,Skin
SIDM00973,WM793B,Skin
SIDM00413,WSU-DLCL2,Lymphoid
SIDM00412,WSU-NHL,Lymphoid
SIDM00411,YAPC,Pancreas
SIDM00316,YH-13,CNS
SIDM00410,YT,Lymphoid
SIDM00971,ZR-75-30,Breast
